Geração Tamanho
0 815058704.355804
241 812882130.923484
480 812629913.322675
729 812384464.139777
978 812136081.861400
1223 811808367.829749
1456 811516245.615682
1685 811243751.072023
1929 810960072.517387
2174 810702883.792397
2423 810448289.050203
2667 810176924.969275
2915 809883920.782187
3160 809642644.780689
3409 809360165.902232
3659 809091242.178946
3899 808878423.591605
4148 808653275.711591
4389 808385364.264348
4636 808153993.937132
4882 807908907.312481
5133 807645103.710468
5384 807382455.576393
5634 807078850.631652
5885 806827675.380804
6136 806555995.603569
6387 806293395.518989
6638 806032530.955222
6889 805770886.590637
7140 805519821.128899
7391 805200800.408679
7642 804958923.480922
7893 804630948.435079
