Geração Tamanho
0 814962327.428742
235 812728613.562560
450 812471684.627138
696 812218698.560818
942 811958298.191181
1187 811594087.861880
1426 811366202.811210
1669 811075811.621075
1913 810836704.589815
2158 810558686.744346
2403 810362601.124779
2643 810106590.627326
2886 809908413.064632
3124 809662242.950843
3366 809456064.799955
3581 809215693.496496
3804 808960301.962647
4046 808723714.264215
4292 808451581.437927
4538 808241544.428329
4789 807955218.064625
5040 807720847.974485
5291 807446254.561491
5542 807164264.299484
5793 806931266.000509
6044 806680310.731882
6295 806456145.881986
6546 806159954.845572
6797 805942344.589722
7048 805671299.967870
7299 805500448.317691
7550 805215789.002455
7801 804963243.029218
