Geração Tamanho
0 6249357.483842
248 6248710.579987
496 6248710.579987
743 6248710.579987
984 6248710.579987
1232 6248710.579987
1477 6248710.579987
1727 6248710.579987
1977 6248710.579987
2227 6248710.579987
2478 6248710.579987
2728 6248710.579987
2978 6248710.579987
3228 6248710.579987
3478 6248710.579987
3726 6248710.579987
3970 6248710.579987
4218 6248710.579987
4468 6248710.579987
4718 6248710.579987
4968 6248710.579987
5218 6248710.579987
5468 6248710.579987
5718 6248710.579987
5968 6248710.579987
6217 6248710.579987
6467 6248710.579987
6716 6248710.579987
6964 6248710.579987
7213 6248710.579987
7463 6248710.579987
7713 6248710.579987
7963 6248710.579987
