Geração Tamanho
0 814906215.827101
232 812626537.581827
470 812356993.636975
709 812076127.172920
960 811835654.870818
1211 811527333.547560
1462 811187618.599136
1712 810912644.778274
1963 810660404.500810
2214 810419055.066827
2465 810140254.759824
2716 809829746.455907
2967 809550105.387874
3217 809248873.778620
3468 809036039.375026
3719 808707054.473107
3970 808439372.735228
4221 808168748.095597
4472 807904631.112837
4714 807651654.208994
4961 807335567.046410
5196 807110864.515245
5441 806820029.828043
5688 806564812.164069
5926 806337460.842033
6170 806093136.580693
6413 805811769.048716
6661 805532298.557325
6911 805264223.724372
7162 804981694.265984
7412 804739123.939362
7663 804480063.584381
7914 804232768.860797
