Geração Tamanho
0 814907666.798678
227 812695076.360769
456 812340883.053307
692 812117388.806408
917 811899750.268432
1142 811682343.952065
1386 811394894.593015
1563 811174073.420051
1731 811037731.844146
1975 810815147.319337
2219 810541879.499751
2456 810318768.572869
2688 810079702.501129
2926 809801965.220200
3175 809568476.142528
3423 809346525.269249
3671 809018045.417195
3916 808833698.771316
4164 808542845.065366
4415 808290532.282926
4665 808064604.312190
4916 807817259.196500
5167 807581675.235895
5418 807297088.384445
5669 807068325.635121
5920 806827821.932957
6159 806574450.229538
6410 806382053.585195
6661 806128707.429646
6910 805873439.699302
7161 805644627.057919
7412 805387223.453006
7655 805088979.780724
7902 804859667.837134
