Geração Tamanho
0 6037300.349460
244 6036514.956228
495 6036514.956228
719 6036514.956228
963 6036514.956228
1184 6036514.956228
1422 6036514.956228
1647 6036514.956228
1883 6036514.956228
2118 6036514.956228
2349 6036514.956228
2577 6036514.956228
2821 6036514.956228
3042 6036514.956228
3290 6036514.956228
3532 6036514.956228
3782 6036514.956228
4028 6036514.956228
4278 6036514.956228
4523 6036514.956228
4771 6036514.956228
5006 6036514.956228
5231 6036514.956228
5477 6036514.956228
5724 6036514.956228
5973 6036514.956228
6203 6036514.956228
6438 6036514.956228
6687 6036514.956228
6931 6036514.956228
7180 6036514.956228
7427 6036514.956228
7666 6036514.956228
7914 6036514.956228
